strain,life_span,stim_a_1.5,stim_a_3,stim_a_4.5,stim_a_6,stim_a_8,stim_a_9.5,stim_a_11.5,stim_a_13,stim_a_15,stim_a_17,stim_a_19,stim_a_22,stim_a_26.5,stim_a_30,stim_a_33.5,base_a_1.5,base_a_3,base_a_4.5,base_a_6,base_a_8,base_a_9.5,base_a_11.5,base_a_13,base_a_15,base_a_17,base_a_19,base_a_22,base_a_26.5,base_a_30,base_a_33.5
N2,22,152,279,265,225,217,242,42,37,0,0,71,NaN,NaN,NaN,NaN,231,50,0,160,302,306,55,3,0,3,0,NaN,NaN,NaN,NaN
N2,15,81,301,253,303,55,198,34,111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,127,197,322,23,165,181,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,15,82,276,291,296,101,63,184,219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,217,237,252,176,100,32,106,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,15,243,178,174,168,5,58,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,169,0,121,10,56,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N2,15,96,126,31,207,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,128,53,151,0,0,15,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,26.5,37,16,0,28,0,77,216,0,0,0,0,64,NaN,NaN,NaN,89,87,0,28,86,65,279,0,0,0,0,0,NaN,NaN,NaN
EG4725,22,127,196,29,237,60,85,189,115,0,3,138,NaN,NaN,NaN,NaN,123,187,271,217,0,183,8,38,0,22,139,NaN,NaN,NaN,NaN
EG4725,11.5,149,96,26,204,159,109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,79,171,77,50,173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,19,123,180,0,194,182,105,175,181,6,122,NaN,NaN,NaN,NaN,NaN,0,159,42,184,105,262,134,93,62,0,NaN,NaN,NaN,NaN,NaN
EG4725,15,195,187,54,161,0,201,0,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212,227,243,198,9,164,144,142,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,19,165,79,178,303,234,71,222,40,0,0,NaN,NaN,NaN,NaN,NaN,151,193,245,212,224,99,234,71,114,6,NaN,NaN,NaN,NaN,NaN
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,15,184,22,114,122,99,92,140,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,158,213,106,33,209,106,161,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,11.5,79,5,40,108,176,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,33,170,86,79,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,15,179,4,83,81,119,56,167,203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,40,0,1,28,0,142,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,17,309,11,2,110,144,57,100,11,18,NaN,NaN,NaN,NaN,NaN,NaN,295,25,0,0,127,31,46,7,37,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,13,71,210,81,163,20,171,235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,55,76,124,5,150,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,15,217,187,179,219,101,228,66,173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150,128,192,256,160,104,85,267,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,15,69,87,143,214,113,50,228,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,200,153,202,67,82,62,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG4725,17,171,182,171,99,102,143,89,89,7,NaN,NaN,NaN,NaN,NaN,NaN,272,77,263,319,218,208,55,104,0,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,26.5,157,69,178,164,185,199,12,10,0,0,0,74,NaN,NaN,NaN,94,192,247,161,246,330,21,137,20,0,0,97,NaN,NaN,NaN
EG4725,17,119,15,127,167,137,208,91,24,13,NaN,NaN,NaN,NaN,NaN,NaN,94,6,290,309,99,140,28,69,0,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,15,96,96,105,324,79,36,58,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148,214,134,330,229,164,25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EG4725,17,148,86,19,318,191,251,8,82,6,NaN,NaN,NaN,NaN,NaN,NaN,155,0,54,247,82,8,0,84,72,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,19,168,30,319,59,74,11,0,67,23,19,NaN,NaN,NaN,NaN,NaN,152,151,300,245,136,164,15,195,117,0,NaN,NaN,NaN,NaN,NaN
LKC34,19,7,72,115,29,175,160,108,20,0,13,NaN,NaN,NaN,NaN,NaN,0,128,140,54,187,223,140,0,0,0,NaN,NaN,NaN,NaN,NaN
LKC34,11.5,14,37,183,125,131,239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,101,269,0,73,123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,26.5,79,65,151,284,100,146,138,0,0,0,0,18,NaN,NaN,NaN,0,49,186,287,200,94,36,0,0,0,0,0,NaN,NaN,NaN
LKC34,19,0,108,84,90,0,31,177,166,35,76,NaN,NaN,NaN,NaN,NaN,71,125,212,145,150,55,259,204,14,0,NaN,NaN,NaN,NaN,NaN
LKC34,11.5,43,87,70,162,250,207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,171,228,169,98,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,17,2,136,216,299,198,212,305,85,63,NaN,NaN,NaN,NaN,NaN,NaN,202,209,223,87,198,226,63,124,42,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,26.5,221,140,34,298,255,107,43,26,86,0,13,13,NaN,NaN,NaN,286,182,136,233,226,228,73,6,0,0,2,0,NaN,NaN,NaN
LKC34,15,45,22,362,160,325,82,131,106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33,91,362,273,329,116,114,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,13,89,299,124,251,165,76,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192,257,128,182,17,92,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,17,134,61,53,68,120,165,19,38,0,NaN,NaN,NaN,NaN,NaN,NaN,0,105,135,17,136,80,49,0,6,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,33.5,152,61,65,18,19,270,96,176,40,0,0,0,37,16,NaN,189,190,146,242,222,65,28,126,0,0,0,0,0,0,NaN
LKC34,19,174,75,114,170,112,131,4,36,0,82,NaN,NaN,NaN,NaN,NaN,108,193,155,254,160,46,31,0,0,96,NaN,NaN,NaN,NaN,NaN
LKC34,19,132,279,77,112,152,153,0,63,0,10,NaN,NaN,NaN,NaN,NaN,106,259,213,90,295,146,8,54,141,0,NaN,NaN,NaN,NaN,NaN
LKC34,13,242,90,89,51,227,119,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,239,271,199,75,255,119,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,17,17,207,183,237,181,42,8,99,60,NaN,NaN,NaN,NaN,NaN,NaN,256,64,179,66,180,231,0,50,51,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,13,39,178,21,71,55,108,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,180,71,162,135,163,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,15,126,171,368,195,290,136,61,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,236,349,291,167,319,26,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,17,358,365,332,212,214,104,0,59,36,NaN,NaN,NaN,NaN,NaN,NaN,353,305,320,198,298,305,0,208,45,NaN,NaN,NaN,NaN,NaN,NaN
LKC34,26.5,262,140,226,411,168,72,2,69,162,5,0,20,NaN,NaN,NaN,220,327,255,403,215,250,5,88,97,0,0,0,NaN,NaN,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,11.5,118,77,42,36,4,184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124,2,0,54,0,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,11.5,75,89,6,97,43,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181,103,10,19,52,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,22,0,92,85,33,61,45,125,21,5,75,30,NaN,NaN,NaN,NaN,9,123,149,104,109,82,52,40,22,56,20,NaN,NaN,NaN,NaN
CX11314,19,67,24,95,123,101,114,129,0,0,17,NaN,NaN,NaN,NaN,NaN,102,0,29,75,24,75,0,0,0,0,NaN,NaN,NaN,NaN,NaN
CX11314,26.5,109,118,85,54,13,5,136,43,183,0,0,23,NaN,NaN,NaN,121,93,33,67,226,101,70,37,166,0,0,37,NaN,NaN,NaN
CX11314,19,66,55,28,101,159,78,13,97,87,0,NaN,NaN,NaN,NaN,NaN,128,10,0,49,101,153,0,110,24,16,NaN,NaN,NaN,NaN,NaN
CX11314,11.5,163,87,0,35,140,247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,31,102,33,10,220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,22,138,73,109,39,34,166,20,136,173,3,8,NaN,NaN,NaN,NaN,0,14,60,2,86,88,41,149,92,106,2,NaN,NaN,NaN,NaN
CX11314,17,81,38,113,71,61,31,98,50,93,NaN,NaN,NaN,NaN,NaN,NaN,87,50,174,20,201,60,77,18,27,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,22,172,109,35,245,29,127,84,204,73,85,5,NaN,NaN,NaN,NaN,151,66,31,51,120,137,210,122,87,51,36,NaN,NaN,NaN,NaN
CX11314,22,124,142,15,260,92,30,177,197,196,37,43,NaN,NaN,NaN,NaN,169,152,90,49,107,13,55,217,119,11,11,NaN,NaN,NaN,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX11314,17,135,209,159,151,46,259,84,43,20,NaN,NaN,NaN,NaN,NaN,NaN,48,103,99,98,73,169,49,1,0,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,19,0,103,11,75,61,143,0,7,13,89,NaN,NaN,NaN,NaN,NaN,57,38,19,269,78,193,0,0,0,0,NaN,NaN,NaN,NaN,NaN
CX11314,22,128,89,133,222,91,126,22,14,12,0,0,NaN,NaN,NaN,NaN,51,154,64,224,56,175,48,2,79,15,91,NaN,NaN,NaN,NaN
CX11314,19,26,88,37,87,0,28,25,5,3,0,NaN,NaN,NaN,NaN,NaN,17,92,0,74,31,41,41,0,33,8,NaN,NaN,NaN,NaN,NaN
CX11314,17,0,38,5,0,97,71,1,122,42,NaN,NaN,NaN,NaN,NaN,NaN,0,196,40,243,184,77,6,17,227,NaN,NaN,NaN,NaN,NaN,NaN
CX11314,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT11398,15,0,20,0,84,0,71,137,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,21,0,56,191,28,40,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,22,0,0,198,145,139,101,9,29,0,0,13,NaN,NaN,NaN,NaN,39,4,46,31,191,120,19,8,0,0,0,NaN,NaN,NaN,NaN
JT11398,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT11398,19,100,148,95,60,120,161,103,22,0,8,NaN,NaN,NaN,NaN,NaN,87,8,139,103,46,210,16,0,0,0,NaN,NaN,NaN,NaN,NaN
JT11398,19,224,214,250,162,109,126,167,144,61,52,NaN,NaN,NaN,NaN,NaN,203,198,236,86,126,224,174,71,185,48,NaN,NaN,NaN,NaN,NaN
JT11398,19,156,218,116,148,114,149,18,22,0,18,NaN,NaN,NaN,NaN,NaN,122,57,109,206,134,157,79,63,0,23,NaN,NaN,NaN,NaN,NaN
JT11398,19,83,291,223,154,31,226,206,0,0,43,NaN,NaN,NaN,NaN,NaN,0,128,108,86,114,213,101,102,0,137,NaN,NaN,NaN,NaN,NaN
JT11398,22,145,119,145,193,155,5,148,52,198,3,6,NaN,NaN,NaN,NaN,9,156,178,164,168,43,165,7,99,1,0,NaN,NaN,NaN,NaN
JT11398,17,45,106,92,22,33,72,27,0,15,NaN,NaN,NaN,NaN,NaN,NaN,0,97,35,26,0,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,19,34,140,0,141,141,8,33,9,0,58,NaN,NaN,NaN,NaN,NaN,0,163,67,44,182,1,78,18,0,0,NaN,NaN,NaN,NaN,NaN
JT11398,17,159,124,65,75,63,0,65,39,152,NaN,NaN,NaN,NaN,NaN,NaN,0,54,47,120,51,18,215,15,43,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,19,23,113,88,182,153,123,119,87,78,0,NaN,NaN,NaN,NaN,NaN,9,125,192,195,135,80,56,192,10,48,NaN,NaN,NaN,NaN,NaN
JT11398,19,1,104,142,120,237,80,37,17,119,150,NaN,NaN,NaN,NaN,NaN,0,90,157,63,76,123,0,58,96,122,NaN,NaN,NaN,NaN,NaN
JT11398,22,0,10,59,49,38,163,26,61,0,3,89,NaN,NaN,NaN,NaN,0,81,208,100,15,36,0,44,46,31,0,NaN,NaN,NaN,NaN
JT11398,15,0,15,133,65,118,103,23,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,55,78,52,176,205,44,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JT11398,26.5,234,217,139,259,52,170,103,12,34,0,0,38,NaN,NaN,NaN,131,62,125,127,37,180,77,17,1,0,0,0,NaN,NaN,NaN
JT11398,19,132,222,38,55,34,280,23,40,0,28,NaN,NaN,NaN,NaN,NaN,155,254,0,96,29,195,112,13,0,61,NaN,NaN,NaN,NaN,NaN
JT11398,19,131,154,81,200,49,294,42,1,32,0,NaN,NaN,NaN,NaN,NaN,113,79,186,85,193,216,150,171,13,32,NaN,NaN,NaN,NaN,NaN
JT11398,19,164,333,256,24,131,61,37,44,42,3,NaN,NaN,NaN,NaN,NaN,0,70,115,31,98,247,158,7,91,6,NaN,NaN,NaN,NaN,NaN
JT11398,22,74,148,125,55,130,28,191,1,67,1,38,NaN,NaN,NaN,NaN,136,94,189,123,143,165,58,11,95,15,0,NaN,NaN,NaN,NaN
JU775,30,152,276,191,278,31,0,0,0,0,0,0,0,0,NaN,NaN,0,1168,466,305,93,36,0,0,0,0,0,0,7,NaN,NaN
JU775,13,83,5,119,215,227,201,236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114,1616,145,291,119,224,157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,13,15,24,113,308,324,168,301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105,185,210,36,221,222,131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,15,252,11,319,214,338,256,126,362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,323,259,369,330,306,366,361,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,26.5,223,195,253,310,330,391,304,5,87,140,75,290,NaN,NaN,NaN,226,183,295,312,269,284,369,12,350,63,47,311,NaN,NaN,NaN
JU775,22,34,169,39,272,100,413,103,3,252,314,150,NaN,NaN,NaN,NaN,0,51,106,264,53,463,108,236,232,221,133,NaN,NaN,NaN,NaN
JU775,15,0,94,0,109,223,304,235,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,1,187,190,0,263,254,205,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,26.5,161,176,168,286,286,244,370,141,62,201,24,110,NaN,NaN,NaN,187,111,234,186,333,293,288,322,87,145,107,137,NaN,NaN,NaN
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU775,26.5,165,28,79,284,115,329,162,280,182,155,177,229,NaN,NaN,NaN,71,119,6,90,274,346,290,259,276,140,320,245,NaN,NaN,NaN
JU775,19,330,202,32,344,329,57,0,0,0,0,NaN,NaN,NaN,NaN,NaN,317,207,128,167,301,195,0,0,0,48,NaN,NaN,NaN,NaN,NaN
JU775,26.5,0,162,127,153,263,219,134,480,73,130,336,57,NaN,NaN,NaN,0,166,238,237,311,258,265,418,223,180,238,92,NaN,NaN,NaN
JU775,26.5,221,264,308,348,236,300,208,246,76,362,333,260,NaN,NaN,NaN,0,309,227,368,276,365,352,187,313,275,352,11,NaN,NaN,NaN
JU775,26.5,186,322,77,289,355,385,12,233,154,146,79,43,NaN,NaN,NaN,39,251,159,140,307,411,71,82,166,282,154,190,NaN,NaN,NaN
JU775,22,225,351,305,349,143,365,457,330,397,378,218,NaN,NaN,NaN,NaN,199,322,335,418,246,423,476,250,361,391,34,NaN,NaN,NaN,NaN
JU775,19,127,108,0,281,136,113,297,40,86,50,NaN,NaN,NaN,NaN,NaN,29,198,0,35,24,140,113,30,25,27,NaN,NaN,NaN,NaN,NaN
JU775,22,175,4,83,192,264,196,160,187,272,0,51,NaN,NaN,NaN,NaN,162,0,232,331,160,143,124,213,70,0,74,NaN,NaN,NaN,NaN
JU775,13,151,135,71,214,106,72,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145,21,0,104,162,104,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,15,107,18,10,10,17,147,133,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,0,0,7,28,152,81,182,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU775,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED3017,19,99,24,283,278,134,137,37,206,0,45,NaN,NaN,NaN,NaN,NaN,0,1345,264,278,161,29,124,230,0,35,NaN,NaN,NaN,NaN,NaN
ED3017,13,2,199,163,216,15,144,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1954,41,56,46,130,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ED3017,11.5,88,234,46,172,169,194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59,922,163,219,133,178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ED3017,22,53,85,8,128,164,124,246,76,194,40,133,NaN,NaN,NaN,NaN,86,163,113,154,154,46,145,201,195,82,54,NaN,NaN,NaN,NaN
ED3017,19,85,91,247,200,120,41,0,141,68,137,NaN,NaN,NaN,NaN,NaN,0,127,82,236,213,138,24,244,69,7,NaN,NaN,NaN,NaN,NaN
ED3017,15,105,104,89,210,118,29,130,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146,178,202,229,201,29,167,144,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ED3017,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED3017,17,1,36,0,53,1,34,0,119,3,NaN,NaN,NaN,NaN,NaN,NaN,0,52,109,15,91,52,0,22,16,NaN,NaN,NaN,NaN,NaN,NaN
ED3017,19,4,73,82,124,201,26,89,60,0,8,NaN,NaN,NaN,NaN,NaN,3,112,111,122,137,160,145,2,0,0,NaN,NaN,NaN,NaN,NaN
ED3017,22,36,1,48,126,33,8,9,94,2,15,29,NaN,NaN,NaN,NaN,9,3,50,166,51,193,0,90,3,0,33,NaN,NaN,NaN,NaN
ED3017,19,2,52,9,58,37,42,105,59,0,137,NaN,NaN,NaN,NaN,NaN,1,0,80,29,58,135,52,50,13,55,NaN,NaN,NaN,NaN,NaN
ED3017,22,27,0,60,46,53,95,22,62,74,3,42,NaN,NaN,NaN,NaN,47,0,42,16,12,15,65,19,65,0,118,NaN,NaN,NaN,NaN
ED3017,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED3017,22,143,205,93,80,193,240,1,177,0,0,103,NaN,NaN,NaN,NaN,0,98,128,139,170,214,0,108,0,0,21,NaN,NaN,NaN,NaN
ED3017,22,84,217,178,88,174,150,145,119,6,0,34,NaN,NaN,NaN,NaN,33,150,129,159,143,192,172,214,83,0,21,NaN,NaN,NaN,NaN
ED3017,17,0,34,20,56,42,80,111,22,16,NaN,NaN,NaN,NaN,NaN,NaN,0,85,119,1,96,81,25,20,25,NaN,NaN,NaN,NaN,NaN,NaN
ED3017,22,0,98,84,48,110,158,0,5,15,43,93,NaN,NaN,NaN,NaN,0,58,43,264,81,153,4,17,28,25,82,NaN,NaN,NaN,NaN
ED3017,17,162,90,49,226,297,139,226,64,7,NaN,NaN,NaN,NaN,NaN,NaN,144,80,85,20,222,43,174,162,127,NaN,NaN,NaN,NaN,NaN,NaN
ED3017,15,19,74,0,24,0,18,4,124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117,70,19,96,87,3,130,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ED3017,17,46,83,63,64,29,0,15,71,12,NaN,NaN,NaN,NaN,NaN,NaN,77,0,6,31,123,0,132,141,0,NaN,NaN,NaN,NaN,NaN,NaN
MY16,15,0,22,203,35,258,0,38,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1573,1015,21,213,26,16,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY16,26.5,83,4,299,88,136,81,44,49,106,0,0,4,NaN,NaN,NaN,90,2003,0,246,205,5,1,59,124,0,0,10,NaN,NaN,NaN
MY16,15,0,204,215,339,11,214,167,135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,553,211,38,3,34,0,103,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY16,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY16,19,208,69,10,300,75,290,300,64,0,7,NaN,NaN,NaN,NaN,NaN,207,144,266,306,43,351,344,18,39,0,NaN,NaN,NaN,NaN,NaN
MY16,19,0,1,51,143,15,214,194,231,67,1,NaN,NaN,NaN,NaN,NaN,0,6,233,191,264,286,271,296,182,5,NaN,NaN,NaN,NaN,NaN
MY16,26.5,2,74,0,8,79,149,328,0,89,64,72,19,NaN,NaN,NaN,0,25,169,303,66,181,333,30,76,60,45,11,NaN,NaN,NaN
MY16,26.5,124,47,0,0,13,144,4,27,281,25,217,58,NaN,NaN,NaN,141,68,114,35,238,145,104,22,287,115,265,26,NaN,NaN,NaN
MY16,26.5,0,29,115,20,207,159,130,119,101,83,11,18,NaN,NaN,NaN,0,130,95,77,197,143,145,112,0,84,50,0,NaN,NaN,NaN
MY16,19,138,1,95,63,217,108,65,80,0,63,NaN,NaN,NaN,NaN,NaN,102,5,68,145,153,232,100,94,6,47,NaN,NaN,NaN,NaN,NaN
MY16,19,0,28,0,0,4,62,26,72,0,34,NaN,NaN,NaN,NaN,NaN,0,25,10,0,0,167,27,68,0,0,NaN,NaN,NaN,NaN,NaN
MY16,26.5,200,48,15,29,177,326,219,112,243,70,0,17,NaN,NaN,NaN,159,28,198,83,271,340,103,245,193,125,0,0,NaN,NaN,NaN
MY16,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY16,19,68,0,100,5,147,269,132,18,0,130,NaN,NaN,NaN,NaN,NaN,0,182,170,18,98,176,76,15,0,7,NaN,NaN,NaN,NaN,NaN
MY16,19,128,262,215,355,155,228,44,54,162,172,NaN,NaN,NaN,NaN,NaN,260,124,193,326,202,213,83,89,183,114,NaN,NaN,NaN,NaN,NaN
MY16,22,145,16,35,96,157,260,26,106,39,82,91,NaN,NaN,NaN,NaN,146,57,115,182,281,173,3,264,99,221,41,NaN,NaN,NaN,NaN
