 CHR_A         BP_A       SNP_A      MAF_A  CHR_B         BP_B       SNP_B      MAF_B           R2 
     6      2845386   6:2845386   0.245902      6      1457323   6:1457323  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1457483   6:1457483   0.131148     0.322153 
     6      2845386   6:2845386   0.245902      6      1457511   6:1457511   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1457550   6:1457550  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1457622   6:1457622  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1457640   6:1457640  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1457648   6:1457648  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1457658   6:1457658  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1457737   6:1457737  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1457969   6:1457969  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1458007   6:1458007  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1458105   6:1458105  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1458321   6:1458321   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1458465   6:1458465  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1458787   6:1458787  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1459098   6:1459098  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1459649   6:1459649   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1460005   6:1460005  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1460705   6:1460705   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1460747   6:1460747   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1460752   6:1460752   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1460979   6:1460979   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1461018   6:1461018  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1461259   6:1461259   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1461569   6:1461569   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1461983   6:1461983   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1462143   6:1462143   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1462375   6:1462375   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1462794   6:1462794  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1462835   6:1462835   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1462836   6:1462836   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1462865   6:1462865   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1462891   6:1462891   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1463054   6:1463054   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1463139   6:1463139   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1463243   6:1463243   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1464184   6:1464184   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1464861   6:1464861   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1465419   6:1465419  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1465594   6:1465594  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1465946   6:1465946   0.229508     0.170222 
     6      2845386   6:2845386   0.245902      6      1466447   6:1466447  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1466544   6:1466544   0.196721     0.233816 
     6      2845386   6:2845386   0.245902      6      1466819   6:1466819   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1466879   6:1466879   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1466993   6:1466993   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1467302   6:1467302  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1467697   6:1467697  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1468077   6:1468077   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1468162   6:1468162   0.196721    0.0852706 
     6      2845386   6:2845386   0.245902      6      1468319   6:1468319  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1468380   6:1468380  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1468508   6:1468508   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1468881   6:1468881   0.147541     0.165245 
     6      2845386   6:2845386   0.245902      6      1469198   6:1469198  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1469382   6:1469382   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1469525   6:1469525  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1469604   6:1469604  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1469928   6:1469928  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1470708   6:1470708   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1471058   6:1471058  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1471755   6:1471755   0.196721    0.0852706 
     6      2845386   6:2845386   0.245902      6      1472114   6:1472114  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1472424   6:1472424  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1473129   6:1473129  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1473151   6:1473151  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1473324   6:1473324   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1473384   6:1473384   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1473609   6:1473609  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1473619   6:1473619  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1473974   6:1473974  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1473979   6:1473979   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1474029   6:1474029  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1474063   6:1474063   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1474211   6:1474211  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1474787   6:1474787  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1474847   6:1474847  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1474849   6:1474849  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1475031   6:1475031   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1475331   6:1475331  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1475466   6:1475466  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1475542   6:1475542   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1476003   6:1476003   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1476005   6:1476005  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1476034   6:1476034  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1476254   6:1476254   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1476364   6:1476364   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1476558   6:1476558  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1476595   6:1476595  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1476759   6:1476759  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1476821   6:1476821   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1477388   6:1477388   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1477413   6:1477413  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1477486   6:1477486  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1477518   6:1477518  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1477972   6:1477972   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1478043   6:1478043   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1478854   6:1478854  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1479076   6:1479076  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1479172   6:1479172  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1479451   6:1479451   0.131148     0.322153 
     6      2845386   6:2845386   0.245902      6      1479478   6:1479478   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1479628   6:1479628   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1479772   6:1479772   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1480483   6:1480483   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1481542   6:1481542   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1483715   6:1483715   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1484340   6:1484340   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1484737   6:1484737   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1485105   6:1485105   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1487555   6:1487555  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1488750   6:1488750  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1490034   6:1490034   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1490414   6:1490414  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1490617   6:1490617   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1491256   6:1491256   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1492948   6:1492948   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1493840   6:1493840  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1494789   6:1494789   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1495926   6:1495926  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1495964   6:1495964  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1496005   6:1496005  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1496249   6:1496249  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1496385   6:1496385  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1496548   6:1496548  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1496555   6:1496555  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1497098   6:1497098   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1497106   6:1497106  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1497107   6:1497107  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1497265   6:1497265   0.131148      0.20685 
     6      2845386   6:2845386   0.245902      6      1497673   6:1497673  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1497784   6:1497784  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1498115   6:1498115   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1498437   6:1498437  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1498846   6:1498846  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1499204   6:1499204  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1499370   6:1499370  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1499830   6:1499830  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1499864   6:1499864  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1499869   6:1499869  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1499883   6:1499883  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1501072   6:1501072   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1501099   6:1501099  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1501502   6:1501502  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1501786   6:1501786  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1501889   6:1501889  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1501938   6:1501938  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1502124   6:1502124  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1502703   6:1502703  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1502740   6:1502740   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1503146   6:1503146   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1503366   6:1503366  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1503486   6:1503486   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1504768   6:1504768   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1504921   6:1504921  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1505356   6:1505356   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1505591   6:1505591   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1505786   6:1505786   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1507195   6:1507195   0.147541   0.00713489 
     6      2845386   6:2845386   0.245902      6      1507804   6:1507804   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1508104   6:1508104   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1508116   6:1508116   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1508158   6:1508158   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1508222   6:1508222  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1508237   6:1508237  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1508240   6:1508240  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1508306   6:1508306  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1509387   6:1509387   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1509755   6:1509755  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1510252   6:1510252   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1510583   6:1510583  0.0655738    0.0244343 
     6      2845386   6:2845386   0.245902      6      1510725   6:1510725   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1510889   6:1510889   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1510902   6:1510902   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1511547   6:1511547   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1511944   6:1511944  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1511985   6:1511985   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1512000   6:1512000   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1512253   6:1512253   0.295082     0.512169 
     6      2845386   6:2845386   0.245902      6      1512384   6:1512384  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1512458   6:1512458   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1512459   6:1512459   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1513012   6:1513012   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1513306   6:1513306   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1513362   6:1513362   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1514200   6:1514200   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1514389   6:1514389   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1514725   6:1514725  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1514884   6:1514884  0.0655738    0.0228833 
     6      2845386   6:2845386   0.245902      6      1514912   6:1514912   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1515056   6:1515056   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1515098   6:1515098   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1516337   6:1516337   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1516459   6:1516459   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1516652   6:1516652   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1516722   6:1516722   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1516728   6:1516728   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1516764   6:1516764   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1516768   6:1516768   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1516893   6:1516893   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1516908   6:1516908   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1516921   6:1516921   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1517213   6:1517213   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1517234   6:1517234   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1517240   6:1517240   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1517412   6:1517412   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1517557   6:1517557   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1517650   6:1517650   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1517712   6:1517712   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1517720   6:1517720   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1517810   6:1517810   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1517837   6:1517837   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1518009   6:1518009   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518043   6:1518043   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1518053   6:1518053   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1518061   6:1518061   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1518145   6:1518145   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518182   6:1518182   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518304   6:1518304   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518309   6:1518309   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1518463   6:1518463   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1518495   6:1518495   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518513   6:1518513   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518637   6:1518637   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518786   6:1518786   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518792   6:1518792   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1518814   6:1518814   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518934   6:1518934   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518941   6:1518941   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518990   6:1518990   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1518998   6:1518998   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519081   6:1519081   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519089   6:1519089   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1519113   6:1519113   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519226   6:1519226   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519385   6:1519385   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519537   6:1519537   0.147541     0.165245 
     6      2845386   6:2845386   0.245902      6      1519548   6:1519548   0.147541     0.165245 
     6      2845386   6:2845386   0.245902      6      1519572   6:1519572   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1519628   6:1519628   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519650   6:1519650   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519697   6:1519697  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1519698   6:1519698   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519699   6:1519699   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519771   6:1519771   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519830   6:1519830   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519875   6:1519875   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519924   6:1519924   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1519990   6:1519990   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1520037   6:1520037   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520041   6:1520041   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520042   6:1520042   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520043   6:1520043  0.0983607     0.104155 
     6      2845386   6:2845386   0.245902      6      1520110   6:1520110   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520115   6:1520115   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520117   6:1520117   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520134   6:1520134   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520135   6:1520135   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520209   6:1520209   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520472   6:1520472   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520614   6:1520614   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520619   6:1520619   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520623   6:1520623   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520670   6:1520670   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520695   6:1520695   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1520776   6:1520776   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520926   6:1520926   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520985   6:1520985   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1520993   6:1520993   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521051   6:1521051   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521084   6:1521084   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521268   6:1521268   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521277   6:1521277   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521284   6:1521284   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521289   6:1521289   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521343   6:1521343   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521344   6:1521344   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521385   6:1521385   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521447   6:1521447   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1521501   6:1521501   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1521535   6:1521535   0.360656     0.362098 
     6      2845386   6:2845386   0.245902      6      1521541   6:1521541   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521659   6:1521659   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521728   6:1521728   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521925   6:1521925   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521930   6:1521930   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1521967   6:1521967   0.163934     0.218042 
     6      2845386   6:2845386   0.245902      6      1522007   6:1522007   0.196721     0.335603 
     6      2845386   6:2845386   0.245902      6      1522197   6:1522197   0.163934     0.218042 
