"","s_label","species","strain","c_label","latitude","longitude","landscape","substrate","substrate_other","substrate_temperature","ambient_temperature","substrate_moisture","ambient_humidity","photo_url","po_created_by","sampled_by","date","island"
"11","S-06054","Caenorhabditis elegans","ECA711","C-3097",19.423864,-155.222478,"Rural garden","Leaf litter",NA,15.4,18.5,71.5,94,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"12","S-06058","Caenorhabditis elegans","ECA712","C-3097",19.423864,-155.222478,"Rural garden","Leaf litter",NA,15.4,18.5,71.5,94,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"13","S-06059","Caenorhabditis elegans","ECA713","C-3097",19.423864,-155.222478,"Rural garden","Leaf litter",NA,15.4,18.5,71.5,94,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"14","S-06073","Caenorhabditis elegans","ECA714","C-3097",19.423864,-155.222478,"Rural garden","Leaf litter",NA,15.4,18.5,71.5,94,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"15","S-06076","Caenorhabditis elegans","ECA715","C-3097",19.423864,-155.222478,"Rural garden","Leaf litter",NA,15.4,18.5,71.5,94,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"16","S-06096","Caenorhabditis elegans","ECA716","C-3160",20.039844,-155.441408,"Wild forest","Fruit/nut/vegetable",NA,22.2,23.3,NA,77.4,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3160.jpg","stefanzdraljevic2018@u.northwestern.edu","daehan.lee@northwestern.edu",2017-08-13,"Big Island"
"17","S-06129","Caenorhabditis elegans","ECA717","C-3160",20.039844,-155.441408,"Wild forest","Fruit/nut/vegetable",NA,22.2,23.3,NA,77.4,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3160.jpg","stefanzdraljevic2018@u.northwestern.edu","daehan.lee@northwestern.edu",2017-08-13,"Big Island"
"18","S-06130","Caenorhabditis elegans","ECA718","C-3160",20.039844,-155.441408,"Wild forest","Fruit/nut/vegetable",NA,22.2,23.3,NA,77.4,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3160.jpg","stefanzdraljevic2018@u.northwestern.edu","daehan.lee@northwestern.edu",2017-08-13,"Big Island"
"19","S-06174","Caenorhabditis elegans","ECA719","C-3114",20.039858,-155.441419,"Wild forest","Fruit/nut/vegetable",NA,19.6,22.6,NA,81.1,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-13,"Big Island"
"20","S-06175","Caenorhabditis elegans","ECA720","C-3114",20.039858,-155.441419,"Wild forest","Fruit/nut/vegetable",NA,19.6,22.6,NA,81.1,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-13,"Big Island"
"21","S-06176","Caenorhabditis elegans","ECA721","C-3114",20.039858,-155.441419,"Wild forest","Fruit/nut/vegetable",NA,19.6,22.6,NA,81.1,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-13,"Big Island"
"22","S-06213","Caenorhabditis elegans","ECA722","C-3085",19.423975,-155.222625,"Rural garden","Leaf litter",NA,14.7,18.5,70,94,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3085.jpg","erik.andersen@northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"23","S-06224","Caenorhabditis elegans","ECA723","C-2805",19.424272,-155.221661,"Rural garden","Leaf litter",NA,18,20.5,70.5,82,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2805.jpg","erik.andersen@northwestern.edu","daehan.lee@northwestern.edu",2017-08-14,"Big Island"
"24","S-06241","Caenorhabditis elegans","ECA724","C-3007",19.439144,-155.303825,"Wild forest","Leaf litter",NA,18,23.3,64,68,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3007.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"25","S-06250","Caenorhabditis elegans","ECA725","C-3007",19.439144,-155.303825,"Wild forest","Leaf litter",NA,18,23.3,64,68,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3007.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"26","S-06251","Caenorhabditis elegans","ECA726","C-3007",19.439144,-155.303825,"Wild forest","Leaf litter",NA,18,23.3,64,68,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3007.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"27","S-06260","Caenorhabditis elegans","ECA727","C-3007",19.439144,-155.303825,"Wild forest","Leaf litter",NA,18,23.3,64,68,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3007.jpg","stefanzdraljevic2018@u.northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"28","S-06317","Caenorhabditis elegans","ECA728","C-2805",19.424272,-155.221661,"Rural garden","Leaf litter",NA,18,20.5,70.5,82,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2805.jpg","erik.andersen@northwestern.edu","daehan.lee@northwestern.edu",2017-08-14,"Big Island"
"29","S-06318","Caenorhabditis elegans","ECA729","C-2805",19.424272,-155.221661,"Rural garden","Leaf litter",NA,18,20.5,70.5,82,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2805.jpg","erik.andersen@northwestern.edu","daehan.lee@northwestern.edu",2017-08-14,"Big Island"
"30","S-06322","Caenorhabditis elegans","ECA730","C-3058",19.423869,-155.222483,"Rural garden","Leaf litter",NA,15,18.4,NA,94,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3058.jpg","erik.andersen@northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-14,"Big Island"
"31","S-06383","Caenorhabditis elegans","ECA731","C-3266",19.115886,-155.818386,"Wild forest","Rotting wood",NA,20.4,25.3888888888889,42,76.3,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3266.jpg","daehan.lee@northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-15,"Big Island"
"32","S-06386","Caenorhabditis elegans","ECA732","C-3264",19.115403,-155.81845,"Wild forest","Leaf litter",NA,23.3,26,62,75.5,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3264.jpg","daehan.lee@northwestern.edu","erik.andersen@northwestern.edu",2017-08-15,"Big Island"
"33","S-06410","Caenorhabditis elegans","ECA733","C-3266",19.115886,-155.818386,"Wild forest","Rotting wood",NA,20.4,25.3888888888889,42,76.3,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3266.jpg","daehan.lee@northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-15,"Big Island"
"34","S-06447","Caenorhabditis elegans","ECA734","C-0736",21.13927631,-156.9740559,"Wild forest","Rotting flower",NA,22.4,24.7,66.5,70.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg","shannonbrady2014@u.northwestern.edu","shannonbrady2014@u.northwestern.edu",2017-08-12,"Molokai"
"35","S-06465","Caenorhabditis elegans","ECA735","C-0736",21.13927631,-156.9740559,"Wild forest","Rotting flower",NA,22.4,24.7,66.5,70.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg","shannonbrady2014@u.northwestern.edu","shannonbrady2014@u.northwestern.edu",2017-08-12,"Molokai"
"36","S-06467","Caenorhabditis elegans","ECA736","C-0736",21.13927631,-156.9740559,"Wild forest","Rotting flower",NA,22.4,24.7,66.5,70.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg","shannonbrady2014@u.northwestern.edu","shannonbrady2014@u.northwestern.edu",2017-08-12,"Molokai"
"37","S-06471","Caenorhabditis elegans","ECA737","C-0736",21.13927631,-156.9740559,"Wild forest","Rotting flower",NA,22.4,24.7,66.5,70.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg","shannonbrady2014@u.northwestern.edu","shannonbrady2014@u.northwestern.edu",2017-08-12,"Molokai"
"38","S-06472","Caenorhabditis elegans","ECA738","C-0736",21.13927631,-156.9740559,"Wild forest","Rotting flower",NA,22.4,24.7,66.5,70.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg","shannonbrady2014@u.northwestern.edu","shannonbrady2014@u.northwestern.edu",2017-08-12,"Molokai"
"39","S-07375","Caenorhabditis elegans","ECA739","C-2828",20.039869,-155.441619,"Wild forest","Leaf litter",NA,21.2,22.6,67.5,84.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"40","S-06560","Caenorhabditis elegans","ECA740","C-1142",20.670022,-156.339189,"Wild forest","Fruit/nut/vegetable",NA,16.9,19.2,73.5,80.4,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1142.jpg","shannonbrady2014@u.northwestern.edu","briana.rodriguez@northwestern.edu",2017-08-14,"Maui"
"41","S-06571","Caenorhabditis elegans","ECA741","C-1329",20.6762,-156.338322,"Wild forest","Fruit/nut/vegetable",NA,18.2,18.5,68.5,90.1,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1329.jpg","shannonbrady2014@u.northwestern.edu","briana.rodriguez@northwestern.edu",2017-08-14,"Maui"
"42","S-06824","Caenorhabditis elegans","ECA742","C-1489",19.92253451,-155.7052173,"Wild forest","Leaf litter",NA,18.2,22.9,30,67.3,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1489.jpg","kathrynevans2015@u.northwestern.edu","kathrynevans2015@u.northwestern.edu",2017-08-16,"Maui"
"43","S-06857","Caenorhabditis elegans","ECA743","C-1480",20.741871,-156.32317,"Urban garden","Rotting flower",NA,20.7,24.9,25.5,65.3,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1480.jpg","briana.rodriguez@northwestern.edu","kathrynevans2015@u.northwestern.edu",2017-08-16,"Maui"
"44","S-07052","Caenorhabditis elegans","ECA744","C-2677",19.719231,-155.949572,"Wild forest","Leaf litter",NA,17.5,23.3333333333333,66.5,80,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2677.jpg","daehan.lee@northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-15,"Big Island"
"45","S-07097","Caenorhabditis elegans","ECA745","C-2865",19.700464,-155.955839,"Wild forest","Leaf litter",NA,20.6,21.9,36,82.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2865.jpg","erik.andersen@northwestern.edu","erik.andersen@northwestern.edu",2017-08-15,"Big Island"
"46","S-07107","Caenorhabditis elegans","ECA746","C-3270",19.115292,-155.819336,"Wild forest","Leaf litter",NA,18.5,23.3333333333333,53,85.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3270.jpg","erik.andersen@northwestern.edu","stefanzdraljevic2018@u.northwestern.edu",2017-08-15,"Big Island"
"47","S-07159","Caenorhabditis elegans","ECA747","C-2865",19.700464,-155.955839,"Wild forest","Leaf litter",NA,20.6,21.9,36,82.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2865.jpg","erik.andersen@northwestern.edu","erik.andersen@northwestern.edu",2017-08-15,"Big Island"
"48","S-07225","Caenorhabditis elegans","ECA748","C-2880",20.039847,-155.441492,"Wild forest","Fruit/nut/vegetable",NA,20.1,22.6,NA,81.8,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"49","S-07228","Caenorhabditis elegans","ECA749","C-2836",20.039875,-155.441608,"Wild forest","Rotting flower",NA,20.1,22.6,NA,80.5,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2836.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"50","S-07237","Caenorhabditis elegans","ECA750","C-2880",20.039847,-155.441492,"Wild forest","Fruit/nut/vegetable",NA,20.1,22.6,NA,81.8,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"51","S-07239","Caenorhabditis elegans","ECA751","C-2880",20.039847,-155.441492,"Wild forest","Fruit/nut/vegetable",NA,20.1,22.6,NA,81.8,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"52","S-07243","Caenorhabditis elegans","ECA752","C-2880",20.039847,-155.441492,"Wild forest","Fruit/nut/vegetable",NA,20.1,22.6,NA,81.8,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"53","S-07244","Caenorhabditis elegans","ECA753","C-2880",20.039847,-155.441492,"Wild forest","Fruit/nut/vegetable",NA,20.1,22.6,NA,81.8,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"54","S-07266","Caenorhabditis elegans","ECA754","C-3189",20.039869,-155.441464,"Wild forest","Leaf litter",NA,21.6,21.9,68.5,85.7,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.jpg","erik.andersen@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"55","S-07267","Caenorhabditis elegans","ECA755","C-3189",20.039869,-155.441464,"Wild forest","Leaf litter",NA,21.6,21.9,68.5,85.7,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.jpg","erik.andersen@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"56","S-07273","Caenorhabditis elegans","ECA756","C-2830",20.039822,-155.441533,"Wild forest","Fruit/nut/vegetable",NA,20.2,22.6,NA,81.3,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"57","S-07274","Caenorhabditis elegans","ECA757","C-2830",20.039822,-155.441533,"Wild forest","Fruit/nut/vegetable",NA,20.2,22.6,NA,81.3,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"58","S-07305","Caenorhabditis elegans","ECA758","C-3197",20.039886,-155.441531,"Wild forest","Fruit/nut/vegetable",NA,19.4,23.3,NA,76.5,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.jpg","erik.andersen@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"59","S-07306","Caenorhabditis elegans","ECA759","C-3197",20.039886,-155.441531,"Wild forest","Fruit/nut/vegetable",NA,19.4,23.3,NA,76.5,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.jpg","erik.andersen@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"60","S-07315","Caenorhabditis elegans","ECA760","C-2828",20.039869,-155.441619,"Wild forest","Leaf litter",NA,21.2,22.6,67.5,84.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"61","S-07323","Caenorhabditis elegans","ECA761","C-2880",20.039847,-155.441492,"Wild forest","Fruit/nut/vegetable",NA,20.1,22.6,NA,81.8,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"62","S-07329","Caenorhabditis elegans","ECA762","C-2830",20.039822,-155.441533,"Wild forest","Fruit/nut/vegetable",NA,20.2,22.6,NA,81.3,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"63","S-07355","Caenorhabditis elegans","ECA763","C-2840",20.039878,-155.441608,"Wild forest","Leaf litter",NA,20.7,22.6,70,82.7,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"64","S-07357","Caenorhabditis elegans","ECA764","C-2840",20.039878,-155.441608,"Wild forest","Leaf litter",NA,20.7,22.6,70,82.7,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"65","S-07358","Caenorhabditis elegans","ECA765","C-2840",20.039878,-155.441608,"Wild forest","Leaf litter",NA,20.7,22.6,70,82.7,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"66","S-07359","Caenorhabditis elegans","ECA766","C-2840",20.039878,-155.441608,"Wild forest","Leaf litter",NA,20.7,22.6,70,82.7,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"67","S-07365","Caenorhabditis elegans","ECA767","C-2840",20.039878,-155.441608,"Wild forest","Leaf litter",NA,20.7,22.6,70,82.7,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"68","S-07368","Caenorhabditis elegans","ECA768","C-2856",20.039914,-155.441556,"Wild forest","Leaf litter",NA,21.9,21.9,69,87.6,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"69","S-07372","Caenorhabditis elegans","ECA769","C-2828",20.039869,-155.441619,"Wild forest","Leaf litter",NA,21.2,22.6,67.5,84.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.jpg","erik.andersen@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"70","S-07378","Caenorhabditis elegans","ECA770","C-3201",20.039869,-155.441531,"Wild forest","Fruit/nut/vegetable",NA,19.4,24,NA,78.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"71","S-07384","Caenorhabditis elegans","ECA771","C-2879",20.039864,-155.441644,"Wild forest","Leaf litter",NA,20.5,22.6,67,84.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2879.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"72","S-07385","Caenorhabditis elegans","ECA772","C-3155",20.039908,-155.441503,"Wild forest","Fruit/nut/vegetable",NA,21.5,NA,NA,NA,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"73","S-07387","Caenorhabditis elegans","ECA773","C-2879",20.039864,-155.441644,"Wild forest","Leaf litter",NA,20.5,22.6,67,84.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2879.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"74","S-07388","Caenorhabditis elegans","ECA774","C-3201",20.039869,-155.441531,"Wild forest","Fruit/nut/vegetable",NA,19.4,24,NA,78.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"75","S-07391","Caenorhabditis elegans","ECA775","C-3201",20.039869,-155.441531,"Wild forest","Fruit/nut/vegetable",NA,19.4,24,NA,78.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"76","S-07392","Caenorhabditis elegans","ECA776","C-3201",20.039869,-155.441531,"Wild forest","Fruit/nut/vegetable",NA,19.4,24,NA,78.2,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"77","S-07414","Caenorhabditis elegans","ECA777","C-3155",20.039908,-155.441503,"Wild forest","Fruit/nut/vegetable",NA,21.5,NA,NA,NA,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"78","S-07415","Caenorhabditis elegans","ECA778","C-3155",20.039908,-155.441503,"Wild forest","Fruit/nut/vegetable",NA,21.5,NA,NA,NA,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"79","S-07420","Caenorhabditis elegans","ECA779","C-2824",20.039858,-155.441608,"Wild forest","Fruit/nut/vegetable",NA,20.6,22.6,NA,83.1,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"80","S-07421","Caenorhabditis elegans","ECA780","C-2824",20.039858,-155.441608,"Wild forest","Fruit/nut/vegetable",NA,20.6,22.6,NA,83.1,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"81","S-07423","Caenorhabditis elegans","ECA781","C-2824",20.039858,-155.441608,"Wild forest","Fruit/nut/vegetable",NA,20.6,22.6,NA,83.1,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"82","S-07425","Caenorhabditis elegans","ECA782","C-2836",20.039875,-155.441608,"Wild forest","Rotting flower",NA,20.1,22.6,NA,80.5,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2836.jpg","daehan.lee@northwestern.edu","dec@u.northwestern.edu",2017-08-17,"Big Island"
"83","S-07430","Caenorhabditis elegans","ECA783","C-3205",20.039783,-155.441481,"Wild forest","Fruit/nut/vegetable",NA,19,23.3,NA,77.9,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3205.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
"84","S-07431","Caenorhabditis elegans","ECA784","C-3205",20.039783,-155.441481,"Wild forest","Fruit/nut/vegetable",NA,19,23.3,NA,77.9,"https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3205.jpg","daehan.lee@northwestern.edu","daehan.lee@northwestern.edu",2017-08-17,"Big Island"
